name,calories,total_fat,sodium,protein,carbohydrate,sugars,food_group
"Bread, bollilo, Mexi",318,5.8g,506.00 mg,10.65 g,55.77 g,3.55 g,grains
"McDONALD'S, Chicken ",302,20g,566.00 mg,15.79 g,15.09 g,0.08 g,grains
"Currants, raw, europ",63,0.4g,2.00 mg,1.40 g,15.38 g,0,grains
"Pineapple, all varie",50,0.1g,1.00 mg,0.54 g,13.12 g,9.85 g,grains
"Leavening agents, ba",0,0g,27360.00 mg,0.00 g,0.00 g,0.00 g,grains
"Asparagus, unprepare",24,0.2g,8.00 mg,3.23 g,4.10 g,0,grains
"Ice creams, light, c",187,7.2g,71.00 mg,5.00 g,25.70 g,24.71 g,grains
"Crackers, wheat, mel",374,2.3g,837.00 mg,12.90 g,76.40 g,0,grains
"Crackers, plain, mel",390,3.2g,598.00 mg,12.10 g,76.60 g,0.94 g,grains
"Crackers, plain, waf",334,0.9g,557.00 mg,9.60 g,80.40 g,1.01 g,grains
"Peanut spread, reduc",650,55g,292.00 mg,24.80 g,14.23 g,6.35 g,grains
"Beerwurst, pork, bee",238,19g,1240.00 mg,14.24 g,2.06 g,0,grains
"Peppers, sauteed, re",133,13g,21.00 mg,1.04 g,6.57 g,4.28 g,grains
"Tree fern, with salt",40,0.1g,241.00 mg,0.29 g,10.78 g,0,grains
"Pheasant, meat and s",181,9.3g,40.00 mg,22.70 g,0.00 g,0,grains
"Squash, raw, hubbard",40,0.5g,7.00 mg,2.00 g,8.70 g,3.95 g,grains
"Rambutan, syrup pack",82,0.2g,11.00 mg,0.65 g,20.87 g,0,grains
"Bologna, beef, pork,",272,23g,1120.00 mg,11.33 g,5.61 g,0.00 g,grains
"DENNY'S, golden frie",319,20g,1400.00 mg,13.88 g,20.93 g,0.75 g,grains
"McDONALD'S, Hot Fudg",186,5.9g,94.00 mg,4.14 g,30.05 g,26.89 g,grains
"Fish, raw, spanish, ",139,6.3g,59.00 mg,19.29 g,0.00 g,0.00 g,grains
Orange Pineapple Jui,51,0.1g,4.00 mg,0.41 g,12.20 g,10.57 g,grains
"Beverages, hard cide",56,0g,4.00 mg,0.00 g,5.92 g,5.92 g,grains
"Babyfood, apple-bana",51,0.1g,4.00 mg,0.20 g,12.30 g,11.00 g,grains
"Spices, ground, must",508,36g,13.00 mg,26.08 g,28.09 g,6.79 g,grains
"ON THE BORDER, refri",144,5g,378.00 mg,7.30 g,17.52 g,0.84 g,grains
"Cornmeal, white, who",362,3.6g,35.00 mg,8.12 g,76.89 g,0.64 g,grains
"Kanpyo, (dried gourd",258,0.6g,15.00 mg,8.58 g,65.03 g,0,grains
"Pancakes, reduced fa",269,1.9g,429.00 mg,5.71 g,57.32 g,8.57 g,grains
"Tennis Bread, plain ",258,1.1g,810.00 mg,9.00 g,53.26 g,3.01 g,grains
"Cockles, raw (Alaska",79,0.7g,0,13.50 g,4.70 g,0,grains
"Yogurt, lowfat, plai",73,1.9g,34.00 mg,9.95 g,3.94 g,3.56 g,grains
"Apples, with skin, f",63,0.2g,1.00 mg,0.20 g,15.22 g,11.68 g,grains
"Peppers, canned, hot",22,0.4g,1430.00 mg,0.80 g,4.56 g,1.60 g,grains
"Lettuce, raw, cos or",17,0.3g,8.00 mg,1.23 g,3.29 g,1.19 g,grains
"MURRAY, JACKS Vanill",438,12g,331.00 mg,4.80 g,78.10 g,37.60 g,grains
"Noodles, dry, soba, ",336,0.7g,792.00 mg,14.38 g,74.62 g,0,grains
"Dessert topping, pre",264,22g,62.00 mg,0.98 g,16.07 g,16.07 g,grains
"Cream, light whippin",292,31g,34.00 mg,2.17 g,2.96 g,2.96 g,grains
"Cream, heavy whippin",340,36g,27.00 mg,2.84 g,2.74 g,2.92 g,grains
"Pinon Nuts, roasted ",541,34g,310.00 mg,7.41 g,51.06 g,0,grains
"Mothbeans, raw, matu",343,1.6g,30.00 mg,22.94 g,61.52 g,0,grains
"Bread, toasted, pump",275,3.4g,655.00 mg,9.50 g,52.20 g,0.58 g,grains
"Bread, enriched, whi",275,1.2g,536.00 mg,9.10 g,55.70 g,1.30 g,grains
"Beef, raw, ground, g",198,13g,68.00 mg,19.42 g,0.00 g,0.00 g,grains
"Muffins, dry mix, wh",396,12g,700.00 mg,7.10 g,73.00 g,0,grains
"Candies, semisweet c",480,30g,11.00 mg,4.20 g,63.90 g,54.50 g,grains
"Sauce, dry, cheese s",438,18g,3202.00 mg,7.68 g,60.52 g,10.26 g,grains
"Cranberry juice, uns",46,0.1g,2.00 mg,0.39 g,12.20 g,12.10 g,grains
"Ostrich, cooked, tip",145,2.6g,80.00 mg,28.49 g,0.00 g,0.00 g,grains
"Cake, dry mix, light",404,5.5g,604.00 mg,4.70 g,84.10 g,0,grains
"Buckwheat flour, who",335,3.1g,11.00 mg,12.62 g,70.59 g,2.60 g,grains
"Sweet potato, mashed",101,0.2g,75.00 mg,1.98 g,23.19 g,5.45 g,grains
"Sausage, smoked, hot",158,8.8g,916.00 mg,15.05 g,4.65 g,3.20 g,grains
"Pastrami, 98% fat-fr",95,1.2g,1010.00 mg,19.60 g,1.54 g,0.00 g,grains
"Rice, raw, long-grai",367,3.2g,5.00 mg,7.54 g,76.25 g,0.66 g,grains
"Babyfood, junior, la",112,5.2g,42.00 mg,15.20 g,0.00 g,0.00 g,grains
"Oil, and olive, pean",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Soy flour, roasted, ",439,22g,12.00 mg,38.09 g,30.38 g,7.61 g,grains
"PACE, Dry Taco Seaso",188,0g,8068.00 mg,0.00 g,56.29 g,18.76 g,grains
"Alfalfa seeds, raw, ",23,0.7g,6.00 mg,3.99 g,2.10 g,0.20 g,grains
"Squash, raw (Navajo)",26,0.2g,20.00 mg,0.52 g,5.64 g,3.54 g,grains
"SMART SOUP, Greek Mi",40,0.5g,138.00 mg,1.70 g,8.40 g,2.70 g,grains
"Cream, lowfat, half ",72,5g,50.00 mg,3.33 g,3.33 g,3.33 g,grains
"Milk shakes, thick c",119,2.7g,111.00 mg,3.05 g,21.15 g,20.85 g,grains
"Babyfood, arrowroot,",424,10g,319.00 mg,7.60 g,75.40 g,0,grains
HEALTHY REQUEST Toma,21,0g,198.00 mg,0.82 g,4.53 g,3.70 g,grains
"Soup, dry, cubed, be",170,4g,24000.00 mg,17.30 g,16.10 g,14.51 g,grains
"Pectin, dry mix, uns",325,0.3g,200.00 mg,0.30 g,90.40 g,0,grains
"Candies, CARAMELLO C",462,21g,122.00 mg,6.19 g,63.81 g,56.92 g,grains
"Veal, raw, external ",503,52g,89.00 mg,8.85 g,0.89 g,0.00 g,grains
"Seeds, raw, breadfru",191,5.6g,25.00 mg,7.40 g,29.24 g,0,grains
"Snacks, rolls, fruit",371,3g,317.00 mg,0.10 g,85.80 g,49.16 g,grains
"Sauce, thin, white, ",105,6.7g,328.00 mg,3.77 g,7.40 g,4.78 g,grains
"Peppers, raw, red, h",40,0.4g,9.00 mg,1.87 g,8.81 g,5.30 g,grains
"Squash, raw, scallop",18,0.2g,1.00 mg,1.20 g,3.84 g,2.39 g,grains
"Currants, raw, red a",56,0.2g,1.00 mg,1.40 g,13.80 g,7.37 g,grains
"Crustaceans, raw, bl",87,1.1g,293.00 mg,18.06 g,0.04 g,0,grains
"Pie fillings, cherry",115,0.1g,18.00 mg,0.37 g,28.00 g,0,grains
"Yogurt, nonfat, plai",59,0.4g,36.00 mg,10.19 g,3.60 g,3.24 g,grains
"Gravy, dry, unspecif",344,8g,5730.00 mg,13.00 g,58.00 g,0,grains
"Seeds, low-fat, sesa",333,1.8g,39.00 mg,50.14 g,35.51 g,0,grains
"Mushrooms, microwave",35,0.5g,17.00 mg,3.91 g,6.04 g,0.00 g,grains
"Beverages, AMP, Ener",46,0.1g,27.00 mg,0.25 g,12.08 g,12.08 g,grains
SILK Black Cherry so,88,1.2g,12.00 mg,2.35 g,17.06 g,11.76 g,grains
"Snack, original bar,",415,12g,253.00 mg,28.00 g,48.73 g,34.89 g,grains
"Beverages, well, tap",0,0g,0,0.00 g,0.00 g,0,grains
"Chrysanthemum, raw, ",24,0.6g,118.00 mg,3.36 g,3.02 g,0,grains
"Stew, moose (Alaska ",55,0.5g,222.00 mg,6.60 g,6.00 g,0,grains
"Ice creams, rich, ch",251,17g,57.00 mg,4.72 g,19.78 g,17.35 g,grains
"Oil, walrus (Alaska ",900,100g,0,0.00 g,0.00 g,0,grains
"Babyfood, junior, ha",97,3.8g,44.00 mg,11.30 g,3.70 g,0.00 g,grains
"Radish seeds, raw, s",43,2.5g,6.00 mg,3.81 g,3.60 g,0,grains
"MORI-NU, firm, silke",62,2.7g,36.00 mg,6.90 g,2.40 g,1.27 g,grains
"MORI-NU, soft, silke",55,2.7g,5.00 mg,4.80 g,2.90 g,1.31 g,grains
"Bread, rye, reduced-",203,2.9g,513.00 mg,9.10 g,40.50 g,2.29 g,grains
"Snacks, air-popped, ",387,4.5g,8.00 mg,12.94 g,77.78 g,0.87 g,grains
"Muffins, dry mix, bl",293,3.3g,479.00 mg,3.48 g,61.00 g,32.73 g,grains
"Turkey, raw, giblets",124,5.1g,136.00 mg,18.18 g,0.07 g,0.00 g,grains
"Corn pudding, home p",131,5g,282.00 mg,4.42 g,16.97 g,6.59 g,grains
"Popovers, enriched, ",371,4.3g,906.00 mg,10.40 g,71.00 g,0,grains
"Soybeans, raw, matur",446,20g,2.00 mg,36.49 g,30.16 g,7.33 g,grains
"Beef sausage, cooked",332,28g,813.00 mg,18.21 g,0.35 g,0.00 g,grains
"Luncheon meat, canne",334,30g,1289.00 mg,12.50 g,2.10 g,0.00 g,grains
"Radishes, raw, white",14,0.1g,16.00 mg,1.10 g,2.63 g,0,grains
"Vinespinach, raw, (b",19,0.3g,24.00 mg,1.80 g,3.40 g,0,grains
"Syrups, high-fructos",281,0g,2.00 mg,0.00 g,76.00 g,75.65 g,grains
"Stew, steamed corn (",112,3.8g,104.00 mg,8.82 g,10.80 g,0.51 g,grains
"OSCAR MAYER, Bologna",316,29g,1179.00 mg,11.05 g,2.45 g,1.40 g,grains
"Milk, fluid, indian ",97,6.9g,52.00 mg,3.75 g,5.18 g,0,grains
"Nuts, dried, black, ",619,59g,2.00 mg,24.06 g,9.58 g,1.10 g,grains
"ON THE BORDER, Mexic",195,4.9g,677.00 mg,3.56 g,34.15 g,1.38 g,grains
"Mushrooms, raw, Chan",38,0.5g,9.00 mg,1.49 g,6.86 g,1.16 g,grains
"McDONALD'S, Baked Ap",323,16g,199.00 mg,3.07 g,43.62 g,17.25 g,grains
"CHICK-FIL-A, Chick-n",228,11g,577.00 mg,21.40 g,10.39 g,1.24 g,grains
"Edamame, unprepared,",109,4.7g,6.00 mg,11.22 g,7.61 g,2.48 g,grains
"Mollusks, raw, blue,",86,2.2g,286.00 mg,11.90 g,3.69 g,0.00 g,grains
"Quail, total edible,",227,14g,52.00 mg,25.10 g,0.00 g,0.00 g,grains
"Cereals, dry, CREAM ",370,0.5g,6.00 mg,6.30 g,82.40 g,0.30 g,grains
"LEAN POCKETS, Ham N ",230,6.5g,423.00 mg,10.28 g,32.52 g,7.60 g,grains
"Snacks, tropical, tr",442,17g,95.00 mg,6.30 g,65.60 g,0,grains
"Nuts, full fat, acor",501,30g,0.00 mg,7.49 g,54.65 g,0,grains
"Fast foods, caramel,",196,6g,126.00 mg,4.71 g,31.81 g,0,grains
"Gravy, mushroom, CAM",34,1.7g,0,0.00 g,5.08 g,1.69 g,grains
"Snacks, smoked, beef",550,50g,1531.00 mg,21.50 g,5.40 g,0,grains
SILK French Vanilla ,133,6.7g,67.00 mg,0.00 g,20.00 g,20.00 g,grains
"Bread, canned, bosto",195,1.5g,631.00 mg,5.20 g,43.30 g,2.42 g,grains
"Cheese, queso blanco",310,24g,704.00 mg,20.38 g,2.53 g,1.76 g,grains
"Cheese, queso fresco",299,24g,751.00 mg,18.09 g,2.98 g,2.32 g,grains
"Beverages, powder, L",376,1.1g,51.00 mg,0.00 g,97.57 g,94.70 g,grains
"Apricots, sweetened,",98,0.1g,4.00 mg,0.70 g,25.10 g,0,grains
"Tomatoes, cooked, ri",18,0.1g,11.00 mg,0.95 g,4.01 g,2.49 g,grains
"Squash, raw, baby, z",21,0.4g,3.00 mg,2.71 g,3.11 g,0,grains
HORMEL Canadian Styl,122,4.9g,1016.00 mg,16.88 g,1.87 g,1.43 g,grains
"Brotwurst, link, bee",323,28g,1112.00 mg,14.30 g,2.98 g,2.98 g,grains
"Pork, cooked, ground",297,21g,73.00 mg,25.69 g,0.00 g,0.00 g,grains
"Sausage, raw, pork, ",346,31g,731.00 mg,14.25 g,0.65 g,0,grains
Ham and cheese loaf ,241,19g,1000.00 mg,13.60 g,4.00 g,0.00 g,grains
"CRACKER BARREL, stea",255,13g,43.00 mg,3.26 g,30.87 g,0.86 g,grains
"Candies, CHUNKY Bar,",475,28g,38.00 mg,7.50 g,60.00 g,52.50 g,grains
"Fish, raw, freshwate",119,4.9g,75.00 mg,17.54 g,0.00 g,0,grains
"Pate, canned, chicke",201,13g,386.00 mg,13.45 g,6.55 g,0.00 g,grains
"BURGER KING, Chicken",292,15g,859.00 mg,18.20 g,20.49 g,0.00 g,grains
"Pork, raw, salt pork",748,81g,2684.00 mg,5.05 g,0.00 g,0.00 g,grains
"Light ice cream, Cre",165,3.1g,46.00 mg,1.54 g,32.75 g,18.46 g,grains
"Toppings, marshmallo",322,0.3g,80.00 mg,0.80 g,79.00 g,46.80 g,grains
"Fish, raw, Pacific, ",195,14g,74.00 mg,16.39 g,0.00 g,0,grains
"Sandwich spread, bee",235,17g,1013.00 mg,7.66 g,11.94 g,0.00 g,grains
"Nuts, hazelnuts or f",628,61g,0.00 mg,14.95 g,16.70 g,4.34 g,grains
"Babyfood, teething b",392,4.2g,285.00 mg,10.70 g,76.40 g,12.65 g,grains
"PACE, Organic Picant",25,0g,688.00 mg,0.00 g,6.25 g,6.25 g,grains
"Peppers, raw, yellow",27,0.2g,2.00 mg,1.00 g,6.32 g,0,grains
"Fish, raw, florida, ",164,9.5g,65.00 mg,18.48 g,0.00 g,0.00 g,grains
"Potato salad, home-p",143,8.2g,529.00 mg,2.68 g,11.17 g,0,grains
"GIRL SCOUTS, Chalet ",478,19g,247.00 mg,4.20 g,72.30 g,35.40 g,grains
"GIRL SCOUTS, Samoas ",489,26g,182.00 mg,3.50 g,64.10 g,35.80 g,grains
"Cheese, semisoft typ",364,30g,415.00 mg,21.58 g,0.12 g,0.12 g,grains
"Candies, unsweetened",540,31g,107.00 mg,8.15 g,56.29 g,34.11 g,grains
"Veal, cooked, seam f",505,50g,87.00 mg,11.16 g,2.11 g,0.00 g,grains
"Corn dogs, prepared,",250,12g,668.00 mg,8.57 g,26.96 g,7.54 g,grains
"Seeds, paste, sesame",586,51g,12.00 mg,18.08 g,24.05 g,0,grains
"Noodles, enriched, d",384,4.4g,21.00 mg,14.16 g,71.27 g,1.88 g,grains
"Persimmons, dried, j",274,0.6g,2.00 mg,1.38 g,73.43 g,0,grains
"Carrots, unprepared,",36,0.5g,68.00 mg,0.78 g,7.90 g,4.76 g,grains
"Carambola, raw, (sta",31,0.3g,2.00 mg,1.04 g,6.73 g,3.98 g,grains
"Fast foods, chicken ",271,14g,769.00 mg,19.22 g,17.25 g,0.40 g,grains
"Beans, home prepared",155,5.2g,422.00 mg,5.54 g,21.63 g,0,grains
"Cream, half and half",123,10g,61.00 mg,3.13 g,4.73 g,4.13 g,grains
"SILK Light Vanilla, ",33,0.8g,39.00 mg,2.47 g,4.12 g,2.88 g,grains
"Turnips, unprepared,",16,0.2g,25.00 mg,1.04 g,2.94 g,0,grains
"PACE, Cilantro Chunk",25,0g,844.00 mg,0.00 g,6.25 g,6.25 g,grains
"PACE, Chipotle Chunk",25,0g,719.00 mg,0.00 g,6.25 g,6.25 g,grains
"Butter, with salt, w",718,78g,583.00 mg,0.49 g,2.87 g,0.06 g,grains
"Ham, cooked, smoked,",122,2.4g,900.00 mg,17.93 g,7.27 g,0.00 g,grains
"Spaghetti, cooked, s",130,0.6g,14.00 mg,4.58 g,26.15 g,0,grains
"Bockwurst, raw, veal",301,26g,756.00 mg,14.03 g,2.95 g,1.33 g,grains
"Squash, raw, acorn, ",40,0.1g,3.00 mg,0.80 g,10.42 g,0,grains
"Candies, KIT KAT Waf",518,26g,54.00 mg,6.51 g,64.59 g,48.68 g,grains
"Turkey sausage, raw,",155,8.1g,593.00 mg,18.79 g,0.47 g,0.00 g,grains
"DENNY'S, top sirloin",182,7.3g,349.00 mg,28.90 g,0.14 g,0,grains
"Pomegranate juice, b",54,0.3g,9.00 mg,0.15 g,13.13 g,12.65 g,grains
"Nance, unsweetened, ",73,1.2g,3.00 mg,0.66 g,16.97 g,8.31 g,grains
"Sauce, sriracha, hot",93,0.9g,2124.00 mg,1.93 g,19.16 g,15.11 g,grains
"Bread, kneel down (N",195,2.2g,126.00 mg,4.29 g,39.47 g,3.74 g,grains
"Vegetable oil, palm ",862,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Fish, raw, chinook, ",179,10g,47.00 mg,19.93 g,0.00 g,0.00 g,grains
"Milk, fluid, mature,",70,4.4g,17.00 mg,1.03 g,6.89 g,6.89 g,grains
"Pork, pickled, feet,",140,10g,946.00 mg,11.63 g,0.01 g,0.00 g,grains
"Canadian bacon, unpr",110,2.6g,751.00 mg,20.31 g,1.34 g,0.90 g,grains
"Cake, dry mix, ginge",437,14g,657.00 mg,4.40 g,74.60 g,46.62 g,grains
"BURGER KING, Vanilla",168,8.7g,100.00 mg,3.19 g,19.03 g,11.67 g,grains
"KEEBLER, Crackers, A",450,14g,468.00 mg,5.60 g,75.30 g,25.40 g,grains
"Rolls, whole-wheat, ",266,4.7g,521.00 mg,8.70 g,51.10 g,8.46 g,grains
"Cheese, nonfat, mozz",141,0g,743.00 mg,31.70 g,3.50 g,1.48 g,grains
"KFC, Crispy Chicken ",274,15g,948.00 mg,20.25 g,13.66 g,0.00 g,grains
"Ice creams, light, v",180,4.8g,74.00 mg,4.78 g,29.46 g,22.12 g,grains
"SILK Very Vanilla, s",53,1.7g,58.00 mg,2.47 g,7.82 g,6.58 g,grains
"Fish, raw, sockeye, ",131,4.7g,78.00 mg,22.25 g,0.00 g,0.00 g,grains
"Fast foods, scramble",212,16g,187.00 mg,13.84 g,2.08 g,1.64 g,grains
"Snacks, salted, pita",457,15g,854.00 mg,11.79 g,68.26 g,4.76 g,grains
"Bratwurst, cooked, c",176,10g,72.00 mg,19.44 g,0.00 g,0.00 g,grains
"Gravy, chicken, CAMP",51,2.7g,424.00 mg,0.79 g,5.87 g,0.94 g,grains
"Fast foods, mashed, ",89,2.8g,306.00 mg,1.65 g,14.65 g,0.50 g,grains
"OSCAR MAYER, Salami ",368,29g,1976.00 mg,25.90 g,1.60 g,0.20 g,grains
"Sorghum flour, whole",359,3.3g,3.00 mg,8.43 g,76.64 g,1.94 g,grains
"Milk shakes, thick v",112,3g,95.00 mg,3.86 g,17.75 g,17.75 g,grains
"MOTHER'S, Macaroon C",552,34g,284.00 mg,6.10 g,55.70 g,25.40 g,grains
"PACE, Thick & Chunky",25,0g,719.00 mg,0.00 g,6.25 g,6.25 g,grains
"Egg, omelet, cooked,",154,12g,155.00 mg,10.57 g,0.64 g,0.31 g,grains
"Java-plum, raw, (jam",60,0.2g,14.00 mg,0.72 g,15.56 g,0,grains
"Snacks, regular, tra",462,29g,229.00 mg,13.80 g,44.90 g,0,grains
"Puddings, dry mix, t",369,0.1g,477.00 mg,0.10 g,94.30 g,65.00 g,grains
"SWANSON, Chicken A L",71,4g,460.00 mg,4.70 g,4.03 g,0.67 g,grains
"McDONALD'S, Barbeque",165,1.2g,910.00 mg,1.55 g,36.93 g,34.31 g,grains
"Pasta, cooked, whole",149,1.7g,4.00 mg,5.99 g,30.07 g,0.75 g,grains
"Sauce, tomato based,",95,0.2g,1647.00 mg,1.25 g,22.04 g,9.82 g,grains
"Mushrooms, dried, sh",296,1g,13.00 mg,9.58 g,75.37 g,2.21 g,grains
"Carissa, raw, (natal",62,1.3g,3.00 mg,0.50 g,13.63 g,0,grains
"Mayonnaise, made wit",322,32g,773.00 mg,5.95 g,3.06 g,0.85 g,grains
"Snacks, plain, bagel",451,15g,233.00 mg,12.34 g,66.36 g,6.02 g,grains
SILK Strawberry soy ,94,1.2g,15.00 mg,2.35 g,18.24 g,12.94 g,grains
"Fish, raw, american,",197,14g,51.00 mg,16.93 g,0.00 g,0.00 g,grains
"Fish, raw, rainbow, ",97,2.4g,60.00 mg,17.63 g,0.00 g,0.00 g,grains
"Bread, unenriched, r",274,4.4g,390.00 mg,7.90 g,52.30 g,0,grains
"Bagels, whole grain ",255,0g,372.00 mg,9.30 g,54.52 g,9.30 g,grains
Ice cream cookie san,240,7.4g,162.00 mg,3.70 g,39.60 g,21.30 g,grains
"Apples, without skin",48,0.1g,0.00 mg,0.27 g,12.76 g,10.10 g,grains
"Tomatoes, canned, cr",32,0.3g,186.00 mg,1.64 g,7.29 g,4.40 g,grains
Chrysanthemum leaves,24,0.6g,118.00 mg,3.36 g,3.01 g,0,grains
"Lentils, raw, pink o",358,2.2g,7.00 mg,23.91 g,63.10 g,0,grains
"Barbecue loaf, beef,",173,8.9g,1334.00 mg,15.84 g,6.40 g,0,grains
"Quail, raw, meat and",192,12g,53.00 mg,19.63 g,0.00 g,0,grains
"Bologna, meat and po",281,24g,1379.00 mg,10.34 g,6.31 g,1.97 g,grains
"Bacon, low sodium, t",253,20g,900.00 mg,13.33 g,4.80 g,0.00 g,grains
"Corned beef loaf, je",153,6.1g,953.00 mg,22.90 g,0.00 g,0,grains
"TACO BELL, Nachos Su",223,12g,348.00 mg,6.21 g,21.39 g,1.63 g,grains
"Mustard, yellow, pre",60,3.3g,1104.00 mg,3.74 g,5.83 g,0.92 g,grains
"Rhubarb, uncooked, f",21,0.1g,2.00 mg,0.55 g,5.10 g,1.10 g,grains
"Bread, toasted, rice",264,5g,292.00 mg,9.70 g,47.30 g,5.08 g,grains
"Broccoli, cooked, ch",22,0.7g,7.00 mg,1.14 g,3.81 g,0.84 g,grains
"Nuts, raw, macadamia",718,76g,5.00 mg,7.91 g,13.82 g,4.57 g,grains
"Candies, MOUNDS Cand",486,27g,145.00 mg,4.60 g,58.59 g,46.19 g,grains
"Ice creams, rich, va",249,16g,61.00 mg,3.50 g,22.29 g,20.65 g,grains
"Fish, raw, orange, r",76,0.7g,72.00 mg,16.41 g,0.00 g,0.00 g,grains
"Lemons, without peel",29,0.3g,2.00 mg,1.10 g,9.32 g,2.50 g,grains
"Nuts, raw, pistachio",560,45g,1.00 mg,20.16 g,27.17 g,7.66 g,grains
"Egg, fried, cooked, ",196,15g,207.00 mg,13.61 g,0.83 g,0.40 g,grains
"Mammy-apple, raw, (m",51,0.5g,15.00 mg,0.50 g,12.50 g,0,grains
"Snacks, plain, pork ",544,31g,1818.00 mg,61.30 g,0.00 g,0.00 g,grains
"Edamame, prepared, f",121,5.2g,6.00 mg,11.91 g,8.91 g,2.18 g,grains
"Sandwich spread, mea",149,9g,630.00 mg,8.00 g,9.00 g,1.90 g,grains
"Luncheon slices, mea",189,11g,711.00 mg,17.78 g,4.44 g,2.22 g,grains
"KEEBLER, Cookies, AN",450,14g,468.00 mg,5.60 g,75.30 g,25.40 g,grains
"Vermicelli, made fro",331,0.1g,4.00 mg,0.10 g,82.32 g,17.44 g,grains
"Frozen yogurts, choc",127,3.6g,63.00 mg,3.00 g,21.60 g,19.24 g,grains
"Mountain yam, raw, h",67,0.1g,13.00 mg,1.34 g,16.30 g,0.31 g,grains
"PACE, Salsa Refried ",60,0g,492.00 mg,3.33 g,11.67 g,3.33 g,grains
Campbell's Pork and ,108,1.2g,338.00 mg,4.62 g,19.23 g,6.15 g,grains
"PACE, Triple Pepper ",47,0g,594.00 mg,3.13 g,9.38 g,6.25 g,grains
"Cheese, low fat, mue",271,18g,600.00 mg,24.70 g,3.50 g,3.50 g,grains
"Dessert topping, pow",577,40g,122.00 mg,4.90 g,52.54 g,52.54 g,grains
"Gravy, turkey, CAMPB",42,1.7g,458.00 mg,1.69 g,5.08 g,1.69 g,grains
"SILK Unsweetened, so",33,1.7g,35.00 mg,2.88 g,1.65 g,0.41 g,grains
"PACE, Diced Green Ch",27,0g,333.00 mg,0.00 g,6.67 g,3.33 g,grains
"Blueberries, frozen,",57,0.2g,3.00 mg,0.00 g,13.85 g,0,grains
"Lupins, raw, mature ",371,9.7g,15.00 mg,36.17 g,40.37 g,0,grains
"Agave, cooked (South",135,0.3g,13.00 mg,0.99 g,32.00 g,20.87 g,grains
"Cookies, coconut mac",460,23g,241.00 mg,3.02 g,61.22 g,45.16 g,grains
"Avocados, California",167,15g,8.00 mg,1.96 g,8.64 g,0.30 g,grains
"Crackers, rye, crisp",366,1.3g,410.00 mg,7.90 g,82.20 g,1.07 g,grains
"Pork, raw, backfat, ",812,89g,11.00 mg,2.92 g,0.00 g,0.00 g,grains
"Crackers, regular, c",489,23g,973.00 mg,10.93 g,59.42 g,4.53 g,grains
"Gravy, au jus, CAMPB",8,0g,0,1.69 g,0.00 g,0,grains
"Seaweed, dried, spir",290,7.7g,1048.00 mg,57.47 g,23.90 g,3.10 g,grains
"Cookies, dry mix, oa",462,19g,473.00 mg,6.50 g,67.30 g,0,grains
"Chicken, no broth, c",185,8.1g,482.00 mg,25.30 g,0.90 g,0.00 g,grains
"McDONALD'S, BIG BREA",285,19g,549.00 mg,10.16 g,17.50 g,0.93 g,grains
"Cornmeal, yellow (Na",384,5.9g,4.00 mg,9.85 g,72.90 g,1.56 g,grains
"Peppered loaf, beef,",149,6.4g,732.00 mg,17.30 g,4.53 g,4.61 g,grains
"BURGER KING, Cheeseb",286,15g,602.00 mg,14.57 g,23.71 g,4.49 g,grains
"Gelatin desserts, dr",381,0g,466.00 mg,7.80 g,90.50 g,86.04 g,grains
"Gravy, dry, brown in",380,12g,5053.00 mg,8.53 g,59.78 g,9.23 g,grains
"SMART SOUP, French L",53,1.1g,131.00 mg,2.90 g,9.50 g,2.60 g,grains
"Fast foods, plain, h",247,15g,684.00 mg,10.60 g,18.40 g,0,grains
"Salami, pork, dry or",407,34g,2260.00 mg,22.58 g,1.60 g,0,grains
"Nuts, canned, ginkgo",111,1.6g,307.00 mg,2.29 g,22.10 g,0,grains
"Spices, pumpkin pie ",342,13g,52.00 mg,5.76 g,69.28 g,7.76 g,grains
"Spices, poultry seas",307,7.5g,27.00 mg,9.59 g,65.59 g,1.80 g,grains
"Ostrich, raw, tip tr",114,2.3g,67.00 mg,21.85 g,0.00 g,0.00 g,grains
"Ostrich, cooked, top",155,3.9g,77.00 mg,28.12 g,0.00 g,0.00 g,grains
"Shake, vanilla, fast",148,6.5g,81.00 mg,3.37 g,19.59 g,13.63 g,grains
"Fish, raw, northern,",88,0.7g,39.00 mg,19.26 g,0.00 g,0.00 g,grains
Jerusalem-artichokes,73,0g,4.00 mg,2.00 g,17.44 g,9.60 g,grains
"Radishes, dried, ori",271,0.7g,278.00 mg,7.90 g,63.37 g,37.32 g,grains
"Side dishes, potato ",114,6g,328.00 mg,1.53 g,13.53 g,0,grains
"Persimmons, raw, jap",70,0.2g,1.00 mg,0.58 g,18.59 g,12.53 g,grains
Rice and Wheat cerea,409,9.1g,500.00 mg,9.09 g,72.73 g,31.80 g,grains
"SILK Light Plain, so",29,0.8g,49.00 mg,2.47 g,3.29 g,2.47 g,grains
"Cheese, low fat, mon",313,22g,781.00 mg,28.20 g,0.70 g,0.56 g,grains
"Onions, dehydrated f",349,0.5g,21.00 mg,8.95 g,83.28 g,37.41 g,grains
"Seeds, dried, lotus ",332,2g,5.00 mg,15.41 g,64.47 g,0,grains
